knljdkfl-1	UNASSIGNED
adlnndgd-1	cepndckh-1
adnhclkp-1	cfabegdn-1
adlndjgh-1	cfabhjic-1
adnkmfca-1	cfaapieg-1
adikodjg-1	aaibohca-1
adhecfek-1	chpglmpc-1
adhdoglo-1	aaicfnbg-1
aeimobpa-1	cgpjlcfo-1
aeigabdc-1	odhgiepc-1
adnddcbc-1	cgpbjhob-1
adndifib-1	chjjhlcb-1
aenhecdh-1	chmcjnjm-1
aehpoogk-1	chmalakk-1
aeojdodm-1	aainmibg-1
aeocabbj-1	cfcfpcpg-1
aeojnplh-1	aaiodeig-1
aemonakg-1	cgnppdnm-1
aeofacmm-1	cgocdafm-1
aendpcoo-1	aaiomogm-1
aenfnpap-1	aaipengh-1
aenegmkk-1	aaipcooo-1
aeniedpe-1	aaipffcj-1
aemoedok-1	aaipkoih-1
aeniabea-1	aaipploo-1
aejnenkj-1	aajaeklo-1
aekahknp-1	aajaoknj-1
aejoaglg-1	cfbhcjdf-1
aeioafce-1	aajclmaf-1
adneipno-1	cepbgpfh-1
adndofdl-1	aajcfifk-1
aeiacofm-1	chabfnkf-1
aeiomdjm-1	cgpkgbne-1
aeihbdkg-1	cgpnlogn-1
aehpnbdo-1	aajdniio-1
aeidiiae-1	aajeemfe-1
aengdpdc-1	cgogoaci-1
aehplpmi-1	aajeffin-1
aejeoido-1	aajefofg-1
aeileibc-1	aajfbdoj-1
aejeleml-1	aajfcogh-1
aejemfii-1	aajfdnch-1
aejfjkmb-1	aajfedil-1
afaggnic-1	aajfjpii-1
aemkigdh-1	cfcbolan-1
afaddbkb-1	aajfnhhf-1
aehekebm-1	cfbadimi-1
afaehjdd-1	cfedaieg-1
aelckfil-1	cfdniiia-1
aekchfdb-1	aajheakb-1
aelflplm-1	aajhgmac-1
aeldgilh-1	odgpbohg-1
afcncaae-1	aajicpjk-1
afcioogh-1	aajidohd-1
afcpdlko-1	aajijaga-1
afcjclfj-1	aajilkdj-1
afbjdlop-1	aajilkgc-1
aekdocmk-1	cfdmlmca-1
aehfbjma-1	cfdjghbj-1
aehgoang-1	cfdggbdp-1
afppkipm-1	cokjpfbf-1
afojnbcm-1	cokenlmf-1
afieflbe-1	aajkjkil-1
afpnjhoa-1	aajkkldp-1
afocipcn-1	cofjmghm-1
afoclkep-1	cokgcgbl-1
afolgfph-1	ciekcpic-1
aflgeiod-1	aajmckho-1
aflgiffc-1	cigdfkpl-1
afodpicf-1	ciejjejd-1
afomfpan-1	aajmjhge-1
afomohcc-1	ciejdmgj-1
